127.0.0.1 - - [10/Nov/2024:10:48:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/Home.jsp HTTP/1.1" 200 50937
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/aos/aos.css HTTP/1.1" 200 28765
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 232855
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 93734
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 68028
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 123381
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 16493
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/css/style.css HTTP/1.1" 200 39166
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/aos/aos.js HTTP/1.1" 200 13800
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/purecounter/purecounter_vanilla.js HTTP/1.1" 200 5417
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80668
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 143706
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/js/main.js HTTP/1.1" 200 7013
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/img/home2.jpg HTTP/1.1" 200 188431
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:58 +0530] "GET /EVChargeStation/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?1fa40e8900654d2863d011707b9fb6f2 HTTP/1.1" 200 121340
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:48:59 +0530] "GET /EVChargeStation/assets/img/favicon.png HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:08 +0530] "GET /EVChargeStation/UserLogin.jsp HTTP/1.1" 200 9185
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:08 +0530] "GET /EVChargeStation/assets/img/userreg.jpg HTTP/1.1" 200 91892
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:08 +0530] "GET /EVChargeStation/assets/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 200 115680
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:24 +0530] "POST /EVChargeStation/UserLoginController HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/UserLogin.jsp HTTP/1.1" 200 9185
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/aos/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/purecounter/purecounter_vanilla.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/aos/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/vendor/php-email-form/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:28 +0530] "GET /EVChargeStation/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/UserRegister.jsp HTTP/1.1" 200 52641
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/login.png HTTP/1.1" 200 42682
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/tabs-1.jpg HTTP/1.1" 200 122091
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/tabs-2.jpg HTTP/1.1" 200 54824
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/tabs-4.jpg HTTP/1.1" 200 98318
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-1.jpg HTTP/1.1" 200 82156
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/tabs-3.jpg HTTP/1.1" 200 91314
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-4.jpg HTTP/1.1" 200 86859
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-3.jpg HTTP/1.1" 200 100174
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-2.jpg HTTP/1.1" 200 74285
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-5.jpg HTTP/1.1" 200 81363
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-6.jpg HTTP/1.1" 200 25598
0:0:0:0:0:0:0:1 - - [10/Nov/2024:10:49:31 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-7.jpg HTTP/1.1" 200 122008
