127.0.0.1 - - [12/Nov/2024:12:35:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:24 +0530] "GET /EVChargeStation/Home.jsp HTTP/1.1" 200 50937
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:30 +0530] "GET /EVChargeStation/UserLogin.jsp HTTP/1.1" 200 9185
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:30 +0530] "GET /EVChargeStation/assets/img/userreg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:30 +0530] "GET /EVChargeStation/assets/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/UserRegister.jsp HTTP/1.1" 200 52641
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/tabs-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/tabs-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/tabs-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/tabs-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/portfolio/portfolio-9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/testimonials/testimonials-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/testimonials/testimonials-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:35:34 +0530] "GET /EVChargeStation/assets/img/testimonials/testimonials-3.jpg HTTP/1.1" 304 -
